term1,term2,score
dorsum,ventrum,1.0
gorilla,chimpanzee,1.0
rabbit,hamster,1.0
tanzania,zambia,1.0
gorillas,chimpanzee,1.0
artery,aorta,1.0
insectivore,herbivore,1.0
wolf,jackal,1.0
recto-anal,anus,1.0
vagina,vulva,1.0
worsens,aggravates,1.0
linolenic,linoleic,1.0
ceftriaxone,cefotaxime,1.0
microbiota-based,micriobiome,1.0
microbiota-based,microbiota-triggered,1.0
microbiome-dependent,microbiota-based,1.0
hiv-infected,hiv-positive,1.0
retriever,beagle,1.0
estradiol,progesterone,1.0
fourteen,fifteenth,1.0
cervix uteri,uterus,1.0
desert,arid,1.0
saliva,salivary,1.0
caloric,calorie,1.0
vegan,vegetarian,1.0
hippocampus,brain,1.0
epidermis,epithelium,1.0
streptomycin-treated,gentamicin-treated,1.0
macaque,cebus,1.0
kyoto,lanzhou,1.0
zambia,zimbabwe,1.0
tilapia,tuna,1.0
kefir,yogurt,1.0
celiac,gluten,1.0
breedc,breedb,1.0
ceftazidime,cefotaxime,1.0
monkey,chimpanzee,1.0
trichuris,helminth,1.0
prenatal,post-natal,1.0
dog,horse,1.0
wheat,grain,1.0
dog,cat,1.0
gutmicrobiota,gut-microbiome,1.0
vagina,anus,0.9696969696969697
dermatitis,acne,0.96875
apoptosis,necrosis,0.967741935483871
mucosa,epithelium,0.9666666666666667
malnutrition,undernutrition,0.9655172413793104
ceftriaxone,aztreonam,0.9649122807017544
forest,woodland,0.9642857142857143
bronch,bronchus,0.9636363636363636
premenopausal,menopause,0.9636363636363636
microbiota-mediated,microbiota-host,0.9636363636363636
endometrium,uterus,0.9629629629629629
sheep,cattle,0.9629629629629629
gut-microbiota,microbiota-triggered,0.9629629629629629
lifespan,longevity,0.9622641509433962
coffee,tea,0.9622641509433962
adenocarcinoma,cancer,0.9622641509433962
lizard,iguana,0.9622641509433962
bonobo,gorilla,0.9622641509433962
ginger,turmeric,0.9615384615384616
penicillin,amoxicillin,0.9615384615384616
gut-microbiota,gut-microbiome,0.9607843137254902
host-microbiota,host-microbe,0.9607843137254902
semen,seminal,0.9607843137254902
carnivore,omnivore,0.9607843137254902
rat-associated,mouse-associated,0.9607843137254902
grass,grassland,0.9607843137254902
cefoperazone,ceftazidime,0.9607843137254902
microbiota-dependent,microbiota-triggered,0.96
cheetahs,gorillas,0.96
primate,cynomolgus,0.96
galactosamine,galactose,0.96
midgut,ileum,0.96
tamarin,marmoset,0.96
obesity-related,obesity-associated,0.96
small-intestine,gastro-intestine,0.9591836734693877
vulva,anus,0.9591836734693877
anxiety,depression,0.9591836734693877
lemur,tamarin,0.9591836734693877
sparrow,canaries,0.9591836734693877
gorillas,gorilla,0.9583333333333334
liver,pancreas,0.9583333333333334
girl,boy,0.9583333333333334
sparrow,songbird,0.9583333333333334
reflux,gerd,0.9583333333333334
exacerbates,aggravates,0.9583333333333334
ileum,jejunum,0.9583333333333334
sucrose,fructose,0.9583333333333334
mouth,tongue,0.9574468085106383
colonoscopy,endoscopy,0.9574468085106383
shrubland,woodland,0.9574468085106383
microbiome-derived,microbiome-based,0.9574468085106383
dog,beagle,0.9574468085106383
neoplasia,cancer,0.9565217391304348
chimp,monkey,0.9565217391304348
ampicillin,amoxicillin,0.9565217391304348
allergy,asthma,0.9565217391304348
neoplasia,tumorigenesis,0.9555555555555556
cervix uteri,vagina,0.9555555555555556
livestock,cattle,0.9555555555555556
sparrow,pigeon,0.9545454545454546
endothelium,epithelium,0.9545454545454546
ameliorates,ameliorate,0.9545454545454546
spondyloarthritis,arthritis,0.9534883720930233
integrin-mediated,integrin,0.9534883720930233
fifteenth,fourteenth,0.9534883720930233
wistar,rhesus,0.9534883720930233
alzheimer,alzheimers,0.9534883720930233
hormones,thyroid,0.9534883720930233
co-housing,cohousing,0.9534883720930233
ameliorates,mitigates,0.9534883720930233
folivore,frugivore,0.9523809523809523
levofloxacin,ciprofloxacin,0.9523809523809523
microbiota-host,microbiota-based,0.9523809523809523
bonobo,chimpanzee,0.9523809523809523
hepatitis,steatohepatitis,0.9523809523809523
goat,hamster,0.9523809523809523
macaque,cynomolgus,0.9523809523809523
ampicillin,clindamycin,0.9523809523809523
mouth,nose,0.9523809523809523
humidity,moisture,0.9512195121951219
rectum,recto,0.9512195121951219
lifetime,lifespan,0.9512195121951219
sarcopenia,osteopenia,0.95
lizard,reptile,0.95
bronch,trachea,0.95
lemurs,marmoset,0.95
week-old,weeks-old,0.9487179487179487
guangdong,shanghai,0.9487179487179487
osteopenia,osteoporosis,0.9487179487179487
woodland,savanna,0.9487179487179487
lake,pond,0.9487179487179487
gutmicrobiota,bifidobacteria,0.9487179487179487
glycemic,glycemia,0.9487179487179487
diet-dependent,nutrition-induced,0.9473684210526315
low grain,whole-grain,0.9473684210526315
maize,grain,0.9459459459459459
raspberry,berry,0.9459459459459459
rectale,colon,0.9459459459459459
crohns disease,inflammatory bowel disease,0.9459459459459459
chimp,gorilla,0.9444444444444444
carbohydrate,disaccharide,0.9428571428571428
mother,woman,0.9428571428571428
bangkok,melbourne,0.9428571428571428
disturbance,disruption,0.9411764705882353
lemurs,chimp,0.9411764705882353
synergic,synergism,0.9411764705882353
sampels,samplig,0.9411764705882353
dissection,dissect,0.9375
prenatal,postnatal,0.9375
glycemia,insulin,0.9365079365079365
ghana,zambia,0.9354838709677419
bred,breedb,0.9354838709677419
endothelial,epithelium,0.9344262295081968
ceftriaxone,amoxicillin,0.9344262295081968
osteoarthritis,osteoporosis,0.9333333333333333
asthma,emphysema,0.9322033898305084
osteoarthritis,arthritis,0.9310344827586207
turtle,lizard,0.9310344827586207
diarrhoea-predominant,gastroenteritis,0.9310344827586207
gut-microbiota,microbiota-associated,0.9298245614035088
ceftazidime,gentamicin,0.9298245614035088
vulva,genitalia,0.9298245614035088
iron-enriched,iron-deficient,0.9285714285714286
lanzhou,shanghai,0.9285714285714286
gut-brain,gut-microbiota,0.9285714285714286
hirundo,sparrow,0.9285714285714286
premenopausal,postmenopausal,0.9285714285714286
hepatitis,cirrhosis,0.9285714285714286
mom,mother,0.9285714285714286
psoriatic,acne,0.9285714285714286
sparrow,finch,0.9272727272727272
elderly,frail,0.9272727272727272
malnutrition,undernourished,0.9272727272727272
desert,semi-desert,0.9272727272727272
carcinoma,cancer,0.9272727272727272
microbiota-induced,microbiota-liver,0.9272727272727272
immunization,immunotherapy,0.9272727272727272
hindgut,foregut,0.9259259259259259
microbiota-bile,microbiota-based,0.9259259259259259
guinea pig,rabbit,0.9259259259259259
tumor,cancer,0.9245283018867925
gutmicrobiota,microbiota-associated,0.9245283018867925
human-skin,epidermis,0.9245283018867925
prediabetic,pre-diabetic,0.9245283018867925
placenta,pregnancy,0.9245283018867925
gentamicin-treated,cefoperazone-treated,0.9245283018867925
centenarians,centenarian,0.9245283018867925
hematopoietic,hematologic,0.9230769230769231
bronchus,trachea,0.9230769230769231
rabbit,sheep,0.9230769230769231
rural,village,0.9230769230769231
gut-brain,gut-microbiome,0.9230769230769231
glycemia,diabetes mellitus,0.9230769230769231
microbiota-mediated,microbiome-wide,0.9230769230769231
newborns,infant,0.9230769230769231
midgut,hindgut,0.9230769230769231
lowland,highland,0.9230769230769231
antibiotic-driven,antibiotic-mediated,0.9230769230769231
cereal,grain,0.9230769230769231
walnut,acorn,0.9230769230769231
aztreonam,ceftazidime,0.9230769230769231
microbiota-mediated,microbiome-derived,0.9230769230769231
clindamycin,doxycycline,0.9215686274509803
cystitis,urogenital,0.9215686274509803
wheat,malt,0.9215686274509803
neoplasia,carcinoma,0.9215686274509803
dog,terrier,0.9215686274509803
steppe,grassland,0.9215686274509803
evergreen,conifer,0.9215686274509803
insect,cockroach,0.9215686274509803
cholera,typhoid fever,0.9215686274509803
vagina,genitalia,0.92
thailand,fiji,0.92
cheetahs,leopard,0.92
nematode,helminth,0.92
horse,cattle,0.92
diet-microbiome,diet-biological,0.92
canaries,finch,0.92
forest,rainforest,0.92
irradiation,radiation,0.92
trachea,lung,0.92
duck,waterfowl,0.9183673469387755
antibiotic-treated,ampicillin-treated,0.9183673469387755
hot,cold,0.9183673469387755
mother,father,0.9183673469387755
human-vaginal,genitalia,0.9183673469387755
malnutrition,kwashiorkor,0.9183673469387755
prediabetic,diabetes mellitus,0.9183673469387755
lanzhou,guangdong,0.9183673469387755
clindamycin,amoxicillin,0.9183673469387755
uterus,placenta,0.9183673469387755
birth,pregnancy,0.9183673469387755
taichung,shanghai,0.9183673469387755
vulva,uterus,0.9183673469387755
tuftsin-phosphorylcholine,tuftsin,0.9183673469387755
cytokines,cytokine,0.9183673469387755
intracellular,extracellular,0.9166666666666666
stomach,chyme,0.9166666666666666
macaque,chimp,0.9166666666666666
herbivore,omnivore,0.9166666666666666
spleen,kidney,0.9166666666666666
pylorus,ileum,0.9166666666666666
microbiota-dependent,microbiome-based,0.9166666666666666
adolescent,puberty,0.9166666666666666
ceftriaxone,ciprofloxacin,0.9166666666666666
microbiota-bile,microbiota-triggered,0.9166666666666666
multi-center,multicenter,0.9166666666666666
bonobo,gorillas,0.9166666666666666
levofloxacin,aztreonam,0.9166666666666666
poultry,cattle,0.9166666666666666
steatosis,steatohepatitis,0.9148936170212766
urogenital tract,urogenital,0.9148936170212766
monkey,gorilla,0.9148936170212766
pigeon,parrot,0.9148936170212766
hepatosteatosis,steatohepatitis,0.9148936170212766
steel,alloy,0.9148936170212766
glycemia,hyperlipidemia,0.9148936170212766
microbiota-induced,microbiota-based,0.9148936170212766
atherosclerotic,sclerosis,0.9148936170212766
sows,piglets,0.9148936170212766
terrier,retriever,0.9148936170212766
bronchitis,asthma,0.9148936170212766
lake,river,0.9148936170212766
uterus,genitalia,0.9148936170212766
beetle,bee,0.9130434782608695
larva,nymph,0.9130434782608695
eye,ear,0.9130434782608695
microbiota-dependent,gut-microbiota,0.9130434782608695
atherosclerotic,ischemia,0.9130434782608695
steel,metal,0.9130434782608695
gorillas,capuchins,0.9130434782608695
macaque,rhesus,0.9130434782608695
farm,livestock,0.9130434782608695
beer,coffee,0.9130434782608695
triglycerides,cholesterol,0.9130434782608695
ciprofloxacin,doxycycline,0.9130434782608695
microbiome-based,microbiota-based,0.9130434782608695
microbiota-induced,microbiota-host,0.9130434782608695
bird,finch,0.9130434782608695
bronchus,lung,0.9130434782608695
aztreonam,cefotaxime,0.9130434782608695
hepatosteatosis,cirrhosis,0.9130434782608695
forest,shrubland,0.9130434782608695
colitis,gastritis,0.9111111111111111
recto,anus,0.9111111111111111
horse,deer,0.9111111111111111
kidney,lung,0.9111111111111111
anti-bacterial,anti-microbial,0.9111111111111111
untreated,non-treated,0.9111111111111111
bird,sparrow,0.9111111111111111
adult,adolescent,0.9111111111111111
cecum,colon,0.9111111111111111
tumorigenesis,carcinogenesis,0.9111111111111111
horse,goat,0.9111111111111111
microbiota-bile,microbiome-based,0.9111111111111111
breastfeeding,lactation,0.9090909090909091
galactose,lactose,0.9090909090909091
microbiota-dependent,microbiota-associated,0.9090909090909091
ready-to-eat,ready-to-use,0.9090909090909091
human-gut,gut-microbiota,0.9090909090909091
lipid,cholesterol,0.9090909090909091
fourteen,fourteenth,0.9090909090909091
antibiotic-resistance,antibiotic-induced,0.9090909090909091
opiate,opioids,0.9090909090909091
botswana,namibia,0.9090909090909091
wellness,healthy,0.9090909090909091
anorexia nervosa,obesity,0.9090909090909091
sparrow,starling,0.9090909090909091
digestion,chyme,0.9090909090909091
ceftriaxone,ceftazidime,0.9090909090909091
chimp,ferret,0.9090909090909091
pancreas,pancreatitis,0.9090909090909091
gluten-free,celiac,0.9090909090909091
steatosis,hepatosteatosis,0.9090909090909091
epidemic,outbreak,0.9076923076923077
carnivore,herbivore,0.9069767441860465
ciprofloxacin,clindamycin,0.9069767441860465
neonatal,postnatal,0.9069767441860465
host-microbiota,microbiome-derived,0.9069767441860465
duodenum,jejunum,0.9069767441860465
gluten-free,wheat,0.9069767441860465
gorillas,chimp,0.9069767441860465
allogeneic,autologous,0.9069767441860465
mother-to-child,mother-infant,0.9069767441860465
symbiosis,mutualism,0.9069767441860465
tetracycline antibiotic,doxycycline,0.9069767441860465
zambia,namibia,0.90625
microbiota-induced,microbiota-mediated,0.9047619047619048
metastasis,cancer,0.9047619047619048
carcinoma,malignancy,0.9047619047619048
cervix uteri,ovary,0.9047619047619048
dermis,epidermis,0.9032258064516129
abdomen,anus,0.9032258064516129
prairie,savanna,0.9024390243902439
pancreatitis,diabetes mellitus,0.9024390243902439
ciprofloxacin,amoxicillin,0.9024390243902439
enteropathogenicity,uropathogenicity,0.9024390243902439
fir,conifer,0.9024390243902439
eagle,parrot,0.9024390243902439
rheumatism,arthritis,0.9024390243902439
gentamicin,streptomycin,0.9016393442622951
grassland,savanna,0.9016393442622951
liver,kidney,0.9016393442622951
doxycycline,amoxicillin,0.9016393442622951
vulva,ovary,0.9
girl,woman,0.9
healthspan,healthy,0.9
gastroesophageal,reflux,0.9
neutrophil,lymphocyte,0.9
mictobiota,gut-microbiome,0.9
fish,abalone,0.9
milk,dairy food,0.9
rooms,room,0.9
ampicillin-treated,cefoperazone-treated,0.9
colitis,inflammatory bowel disease,0.9
melanoma,cancer,0.8983050847457628
native,indigenous,0.8983050847457628
insulin,diabetes mellitus,0.8983050847457628
insectivore,folivore,0.8983050847457628
gutmicrobiota,mictobiota,0.8983050847457628
psoriasis,acne,0.8983050847457628
intestine,colon,0.8974358974358975
bangladesh,colombia,0.8974358974358975
bonobo,beagle,0.8974358974358975
jackal,fox,0.8974358974358975
fructooligosaccharide,inulin,0.8974358974358975
microbiota-mediated,microbiota-liver,0.8974358974358975
cervico-vaginal,cervico,0.8974358974358975
beach,coast,0.8974358974358975
psoriasis,dermatitis,0.8974358974358975
penicillin,vancomycin,0.8974358974358975
atherosclerosis,ischemia,0.8974358974358975
jackal,cheetahs,0.896551724137931
microbiota-mediated,microbiota-associated,0.896551724137931
microbiota-associated,microbiota-based,0.896551724137931
animal,rabbit,0.896551724137931
antibiotic-driven,antibiotic-induced,0.896551724137931
oligosaccharide,polysaccharide,0.896551724137931
inoculation,inoculate,0.896551724137931
wolf,bear,0.8947368421052632
tokyo,taichung,0.8947368421052632
colitis,enteritis,0.8947368421052632
mammalian-associated,rat-associated,0.8947368421052632
virus,herpesvirus,0.8947368421052632
healthspan,wellness,0.8947368421052632
gutmicrobiota,gut-brain,0.8947368421052632
microbiota-host,microbiota-bile,0.8947368421052632
bladder,kidney,0.8947368421052632
mycobiota,microbiota-based,0.8947368421052632
cigarette,cigarettes,0.8947368421052632
vagina,uterus,0.8947368421052632
immunogenicity,immunomodulation,0.8947368421052632
stomach,gastric,0.8947368421052632
rectum,abdomen,0.8947368421052632
diabetes mellitus,prediabetes,0.8947368421052632
anti-inflammatory,pro-inflammatory,0.8947368421052632
gastritis,pancreatitis,0.8928571428571429
non-responders,responders,0.8928571428571429
human-vaginal,vulva,0.8928571428571429
dermis,skin,0.8928571428571429
atorvastatin,pravastatin,0.8928571428571429
fruit,berry,0.8928571428571429
periodontium,periodontitis,0.8928571428571429
tokyo,shanghai,0.8928571428571429
levofloxacin,doxycycline,0.8928571428571429
macaque,primate,0.8918918918918919
liquid,liquids,0.8918918918918919
chagas,leishmaniasis,0.8918918918918919
koala,gorilla,0.8918918918918919
microbiota-mediated,microbiota-based,0.8918918918918919
seizure,epilepsy,0.8918918918918919
endometrium,cervix uteri,0.8909090909090909
intestine,ileum,0.8909090909090909
malignant,cancer,0.8909090909090909
cherry,raspberry,0.8909090909090909
microbiome-wide,microbiota-based,0.8909090909090909
sparrow,eagle,0.8909090909090909
gut-brain,gut-liver,0.8909090909090909
ulcer,wound,0.8909090909090909
airways,bronchus,0.8909090909090909
rat,fox,0.8909090909090909
hypoxic,hyperoxia,0.8909090909090909
allograft,graft,0.8909090909090909
wolf,deer,0.8909090909090909
low fat,highfat,0.8888888888888888
microbiota-bile,gut-microbiome,0.8888888888888888
carcinogenesis,cancer,0.8888888888888888
homeostatic,homeostasis,0.8888888888888888
plant,leaf,0.8888888888888888
lipid,phospholipid,0.8888888888888888
farm,cattle,0.8888888888888888
microbiome-derived,microbiota-triggered,0.8888888888888888
diphtheria,tuberculosis,0.8888888888888888
bird,parrot,0.8888888888888888
metatranscripome,metranscriptome,0.8888888888888888
macaque,monkey,0.8888888888888888
intestine,jejunum,0.8888888888888888
fructooligosaccharide,galactooligosaccharide,0.8888888888888888
gutmicrobiota,gut-microbiota,0.8888888888888888
crohns disease,colitis,0.8888888888888888
ampicillin-treated,metronidazole-treated,0.8867924528301887
rat-associated,animal-associated,0.8867924528301887
steppe,savanna,0.8867924528301887
wound,injury,0.8867924528301887
carcinoma,tumor,0.8867924528301887
miicrobiota,microbiome-based,0.8867924528301887
diphtheria,herpesvirus,0.8857142857142857
pea,fruit,0.8857142857142857
antibiotic-treated,antibiotic-induced,0.8857142857142857
bonobo,chimp,0.8846153846153846
tumorigenesis,cancer,0.8846153846153846
regulatory t cell,tregs,0.8846153846153846
cervico-vaginal,mid-vaginal,0.8846153846153846
gorillas,monkey,0.8846153846153846
tree,shrub,0.8846153846153846
cyclophosphamide,chemotherapy,0.8846153846153846
hpv,papillomavirus,0.8846153846153846
interleukin,cytokine,0.8846153846153846
macaque,chimpanzee,0.8846153846153846
cheese,yogurt,0.8846153846153846
lipoprotein,lipid,0.8846153846153846
stomach,abdomen,0.8846153846153846
gerbil,rodent,0.8846153846153846
pine,fir,0.8846153846153846
snake,reptile,0.8823529411764706
babies,toddlers,0.8823529411764706
microbiota-induced,microbiome-dependent,0.8823529411764706
enterotoxigenic,enteropathogenicity,0.8823529411764706
wistar,sprague-dawley,0.8823529411764706
beef,cattle,0.8823529411764706
immunopathology,inflammation,0.8823529411764706
pre-surgery,post-surgery,0.8823529411764706
lemurs,tamarin,0.8823529411764706
gut-microbiota,xenomicrobiota,0.8823529411764706
spondyloarthritis,osteoarthritis,0.8823529411764706
microbiota-host,gut-microbiome,0.8823529411764706
amniotic,placenta,0.8823529411764706
adenocarcinoma,carcinoma,0.8823529411764706
microbiota-mediated,microbiome-dependent,0.8823529411764706
gerbil,guinea pig,0.8823529411764706
sebum,acne,0.8823529411764706
fodmap,gluten,0.8823529411764706
mucosa,mucosae,0.8823529411764706
waste water,sewage,0.8823529411764706
opioid,opiate,0.88
nephropathy,kidney,0.88
gerbil,hamster,0.88
osteoarthritis,osteopenia,0.88
taichung,lanzhou,0.88
bronch,bronchitis,0.88
fly,beetle,0.88
skin,epidermis,0.88
mother,parent,0.88
colitis,enterocolitis,0.88
highfat,fatty,0.88
gerbil,rat,0.88
sparrow,parrot,0.8787878787878788
chimp,cynomolgus,0.8787878787878788
steppe,prairie,0.8787878787878788
open-label,double-blind,0.8787878787878788
mycobiome,mycobiota,0.8787878787878788
hfdhfb,hfdlfb,0.8775510204081632
breastmilk,breast,0.8775510204081632
microbiota-mediated,microbiota-dependent,0.8775510204081632
societies,institutions,0.8775510204081632
mother-infant,mother-child,0.8775510204081632
microbiome-derived,miicrobiota,0.8775510204081632
shrubland,grassland,0.8775510204081632
frozen,unfrozen,0.8775510204081632
gut-derived,gut-microbiota,0.8775510204081632
dog,labrador,0.8775510204081632
bird,cat,0.8775510204081632
orchard,plantation,0.8775510204081632
dysbiotic,dysbiosis,0.8775510204081632
microbiome-dependent,microbiome-wide,0.8775510204081632
pig,piglets,0.8775510204081632
gut-brain,human-gut,0.8775510204081632
epithelium,intestine,0.8775510204081632
bird,starling,0.8775510204081632
nutrition,vitamin,0.8775510204081632
zambia,botswana,0.8775510204081632
gout,arthritis,0.8775510204081632
pre-weaning,post-weaning,0.8769230769230769
schizophrenia,depression,0.8769230769230769
levofloxacin,cefotaxime,0.875
hiv-infected,siv-infected,0.875
unfed,fasted,0.875
elicited,elicit,0.875
opioid,morphine,0.875
guinea pig,hamster,0.875
bronchitis,bronchus,0.875
disease,epilepsy,0.875
virus,parvovirus,0.875
desert,savanna,0.875
medications,chemotherapy,0.875
marmoset,capuchins,0.875
immunosurveillance,immunotherapy,0.875
prawn,fish,0.875
antibiotic-induced,antibiotic-mediated,0.875
fetus,pregnancy,0.873015873015873
malignancy,cancer,0.873015873015873
endothelial,endothelium,0.8723404255319149
microbiota-associated,microbiota-triggered,0.8723404255319149
immunopathology,immunogenicity,0.8723404255319149
overweight,obesity,0.8723404255319149
poultry,livestock,0.8723404255319149
oligosaccharide,disaccharide,0.8723404255319149
esophagus,intestine,0.8723404255319149
tropical,sub-tropical,0.8723404255319149
esophagus,gastroesophageal,0.8723404255319149
wheat,gluten,0.8723404255319149
retroauricular crease,crease,0.8709677419354839
primate,bonobo,0.8709677419354839
diet-microbiome,gut-microbiome,0.8709677419354839
fetus,infant,0.8709677419354839
microbiota-mediated,microbiota-triggered,0.8709677419354839
passerine,finch,0.8695652173913043
rabbit,deer,0.8695652173913043
mucosae,epithelium,0.8695652173913043
microbiota-induced,microbiome-derived,0.8695652173913043
primate,marmoset,0.8695652173913043
dextrin,starch,0.8695652173913043
maize,bran,0.8695652173913043
uterus,ovary,0.8695652173913043
limb,arm,0.8695652173913043
lemurs,chimpanzee,0.8695652173913043
polyunsaturated,linoleic,0.8695652173913043
goat,cattle,0.8695652173913043
non-endemic,endemic,0.8695652173913043
farm,grassland,0.8695652173913043
sucrose,saccharide,0.8695652173913043
mom,father,0.8695652173913043
anorexia nervosa,obesity-associated,0.8688524590163934
bean,cowpea,0.8688524590163934
immunoglobulin,immunoglobulins,0.8666666666666667
ischemia,infarction,0.8666666666666667
glycemia,glucose,0.8666666666666667
levofloxacin,clindamycin,0.8666666666666667
microbiota-induced,microbiome-based,0.8666666666666667
healthspan,lifespan,0.8666666666666667
ampicillin-treated,neomycin-treated,0.8666666666666667
rifampicin,rifaximin,0.8666666666666667
aorta,trachea,0.8666666666666667
mouse,rodent,0.8666666666666667
osteoarthritis,fibromyalgia,0.8666666666666667
cranberry,raspberry,0.8666666666666667
crohns disease,crohn`s,0.8666666666666667
trachea,pharynx,0.8666666666666667
allograft,xenograft,0.8666666666666667
uterus,spleen,0.8666666666666667
microbiome-wide,microbiota-triggered,0.8666666666666667
cecum,pylorus,0.8666666666666667
cytokines,interferon,0.8666666666666667
navy,naval,0.8666666666666667
